,Unnamed: 0,Signal_Envelope_Mean,Zero_Crossing_Rate,Mean_Frequency,Median_Frequency,Predicted_Stress
0,cyl_ch1,0.2310286062895835,0.1448,225.8610943162026,205.436,High Stress
1,cyl_ch2,0.8494951679648246,0.446096,263.7873125811273,258.984,Low Stress
2,hook_ch1,0.197202363199578,0.102328,240.8151901174097,230.312,Low Stress
3,hook_ch2,0.6269595795569919,0.313676,246.51583144930748,231.136,Low Stress
4,tip_ch1,0.1691277597737424,0.041816,217.26151643624215,199.864,High Stress
5,tip_ch2,0.5585317897039502,0.36692,258.52058066675824,248.452,Low Stress
6,palm_ch1,0.1677805745103545,0.035648,226.52293595379965,214.624,High Stress
7,palm_ch2,0.425035399055221,0.336524,258.4573249620489,250.448,Low Stress
8,spher_ch1,0.4237018450400011,0.21778,195.10386338053277,164.868,High Stress
9,spher_ch2,1.0216892769488222,0.448372,265.85650693787744,261.216,Low Stress
10,lat_ch1,0.1890143715777232,0.103536,236.9274751273501,226.704,Low Stress
11,lat_ch2,0.6302106627506664,0.4312,279.9084783859132,282.048,Low Stress
